word,level,meaning,sentence
abide,6,遵守,You must abide by the rules of the game.
aboriginal,6,原住民的,The Aboriginal people have lived here for thousands of years.
abstraction,6,心不在焉／抽象概念,The idea is too much of an abstraction for young children.
abundance,6,豐富,There is an abundance of fresh fruit in summer.
accessory,6,附件,This scarf is a useful accessory for winter.
acclaim,6,歡呼；歡呼聲,The film won critical acclaim around the world.
academy,6,學院；學會,She studies at the art academy.,
accordance,6,一致；依照,"In accordance with the law, he was fined.",
acne,6,痤瘡；青春痘,Many teenagers suffer from acne.,
administer/administrate,6,管理；執行,He administers the company's finances.,
affectionate,6,摯愛的；充滿深情的,She gave her mother an affectionate hug.,
affiliate,6,分支機構；使隸屬,The company is an affiliate of a larger corporation.,
affirm,6,肯定；斷言,He affirmed that the story was true.,
airtight,6,密閉的,Store the food in an airtight container.,
align,6,使排列整齊；使結盟,Please align the chairs in a row.,
alligator,6,短吻鱷,An alligator was seen in the swamp.,
amplify,6,擴大；放大,The microphone amplifies the speaker's voice.,
analytical,6,分析的,She has an analytical mind.,
anchor,6,錨；新聞主播,The ship dropped its anchor in the bay.,
animate,6,使有生氣；賦予生命,The cartoon characters are animated by computers.,
annoyance,6,惱怒；令人厭煩的事,His constant questions were an annoyance.,
antonym,6,反義詞,'Hot' is the antonym of 'cold'.,
approximate,6,大約的；接近,The approximate cost is one hundred dollars.,
ascend,6,上升；攀登,They began to ascend the mountain.,
aspire,6,渴望；立志,She aspires to become a doctor.,
asthma,6,氣喘,He uses an inhaler for his asthma.,
astray,6,誤入歧途地,The guide led us astray.,
astronomer,6,天文學家,The astronomer studied the stars.,
attain(ment),6,達到；獲得,She attained her goal through hard work.,
audit,6,稽核；審計,The company's accounts were audited.,
avert,6,避免；防止,Quick action averted a disaster.,
awesome,6,令人敬畏的；很棒的,The view from the top was awesome.,
awhile,6,片刻；一會兒,Please wait awhile.,
backbone,6,脊椎；骨幹,He has no backbone and gives in easily.,
badge,6,徽章,The police officer showed his badge.,
beep,6,嗶嗶聲,The computer made a beep when it started.,
beforehand,6,事先,Let me know beforehand if you can come.,
bilateral,6,雙邊的,The two countries signed a bilateral agreement.,
bleach,6,漂白劑；漂白,She used bleach to clean the bathroom.,
blond/blonde,6,金髮的；金髮碧眼的人,The blonde woman smiled at me.,
blot,6,污漬；弄髒,There was an ink blot on the paper.,
blunt,6,鈍的；直率的,He gave a blunt answer.,
booklet,6,小冊子,The booklet contains useful information.,
bosom,6,胸部；胸懷,She held the child to her bosom.,
brassiere/bra,6,胸罩,She bought a new bra.,
breadth,6,寬度；廣度,The breadth of his knowledge impressed us.,
breakup,6,分手；解散,The breakup of their marriage was sad.,
bribe,6,賄賂,He was arrested for taking a bribe.,
brink,6,邊緣,The company was on the brink of bankruptcy.,
broil,6,燒烤,We decided to broil the fish.,
broth,6,肉湯；高湯,She made chicken broth for the soup.,
brotherhood,6,兄弟情誼,They shared a strong brotherhood.,
bulky,6,笨重的；龐大的,The bulky package was hard to carry.,
bureaucrat,6,官僚,The bureaucrat processed the paperwork slowly.,
bypass,6,旁道；繞過,We took the bypass to avoid the traffic.,
caffeine,6,咖啡因,Coffee contains a lot of caffeine.,
calligraphy,6,書法,He practices Chinese calligraphy.,
capsule,6,膠囊,Take one capsule after each meal.,
cardboard,6,紙板,The box is made of cardboard.,
caretaker,6,照顧者；看管人,The caretaker looks after the building.,
carton,6,紙盒；紙箱,She bought a carton of milk.,
cavity,6,蛀洞；腔,The dentist filled the cavity in my tooth.,
celery,6,芹菜,She added celery to the soup.,
cellular,6,細胞的；蜂巢式的,The cellular structure of the plant is complex.,
Celsius,6,攝氏（溫標）,Water boils at 100 degrees Celsius.,
cement,6,水泥；黏合,The workers mixed cement for the foundation.,
certify,6,證明；發證書,The doctor certified that he was fit to work.,
chairperson/chair/chairman/chairwoman,6,主席；董事長,The chairperson opened the meeting.,
chant,6,反覆吟誦；聖歌,The crowd chanted the team's name.,
chestnut,6,栗子；栗色的,She roasted chestnuts on the fire.,
chili,6,辣椒,He added chili to the sauce.,
chirp,6,（鳥、蟲）啁啾聲,The birds chirped in the morning.,
clam,6,蛤蜊,We dug for clams on the beach.,
clasp,6,緊握；扣環,She clasped the necklace around her neck.,
clearance,6,清除；許可,The store is having a clearance sale.,
clone,6,複製；複製體,Scientists cloned a sheep.,
colloquial,6,口語的,Colloquial English is different from formal English.,
commonwealth,6,聯邦；國協,The Commonwealth is an association of nations.,
congressman/congresswoman,6,國會議員,The congressman voted for the bill.,
conserve,6,節約；保育,We must conserve water during the drought.,
consonant,6,子音,"B, C, D are consonants.",
contention,6,爭論；論點,His contention was that the plan would fail.,
contestant,6,參賽者,Each contestant had to answer three questions.,
continuity,6,連續性,The continuity of the story was broken.,
coral,6,珊瑚；珊瑚色的,The coral reef is full of colorful fish.,
corpse,6,屍體,The police found a corpse in the river.,
correspondence,6,通信；一致,They kept up a correspondence for years.,
cosmetics,6,化妝品,She works for a cosmetics company.,
cowardly,6,膽小的,It was a cowardly act to run away.,
cozy,6,舒適的；溫馨的,The small room was warm and cozy.,
cracker,6,薄脆餅乾,He ate crackers with cheese.,
cramp,6,抽筋,She got a cramp in her leg while swimming.,
crater,6,火山口；坑洞,The crater was filled with water.,
crutch,6,拐杖,He walked with a crutch after the accident.,
cynical,6,憤世嫉俗的,He has a cynical view of politics.,
dedication,6,奉獻；投入,Her dedication to the job is admirable.,
deduct,6,扣除,The tax will be deducted from your salary.,
default,6,預設；違約,He lost the case by default.,
defiance,6,反抗；違抗,She acted in defiance of the rules.,
definitive,6,決定性的；最終的,This is the definitive answer.,
destined,6,命中注定的,They were destined to meet.,
detention,6,拘留；留校察看,He got detention for being late.,
devour,6,狼吞虎嚥；吞沒,The hungry boy devoured his dinner.,
dictatorship,6,獨裁統治,The country suffered under a dictatorship.,
diesel,6,柴油,The truck runs on diesel.,
directive,6,指令；指示,We received a directive from headquarters.,
disbelief,6,不相信,She stared at him in disbelief.,
discharge,6,排出；釋放,The factory discharged waste into the river.,
disgrace,6,恥辱；使蒙羞,His behavior brought disgrace to the family.,
dispense,6,分配；發放,The machine dispenses drinks.,
dissent,6,異議；不同意,There was some dissent among the members.,
distraction,6,分心；分散注意力的事物,Noise is a constant distraction.,
disturbance,6,干擾；騷動,The disturbance woke everyone up.,
divert,6,使轉向；轉移,The traffic was diverted to another road.,
downward,6,向下的,The path led downward to the river.,
downward/downwards,6,向下地,He looked downwards at his shoes.,
dresser,6,梳妝台,She put her jewelry on the dresser.,
dressing,6,調味醬；敷料,She made a salad dressing with oil and vinegar.,
dusk,6,黃昏,We arrived at dusk.,
dwell,6,居住,They dwell in a small village.,
dwelling,6,住所；居住,The old dwelling was abandoned.,
emigrate,6,移居國外,They decided to emigrate to Australia.,
emigration,6,移居國外,Emigration to the city increased.,
endeavor,6,努力；盡力,He endeavored to finish the work on time.,
equalize,6,使平等；使相等,The government tried to equalize opportunities.,
equate,6,使相等；視為同等,People often equate money with happiness.,
eternity,6,永恆,The stars seem to last for eternity.,
evacuate,6,撤離；疏散,The villagers were evacuated before the flood.,
excerpt,6,摘錄,She read an excerpt from the novel.,
excess,6,過量的；過剩,An excess of sugar is bad for you.,
exclusion,6,排除,His exclusion from the team surprised us.,
exert,6,運用；施加（影響力）,He exerted pressure on them to agree.,
expenditure,6,支出；花費,The government's expenditure on health increased.,
expiration,6,期滿；截止,The expiration date is on the label.,
eyelash/lash,6,睫毛,She has long eyelashes.,
eyelid,6,眼皮,The eyelid protects the eye.,
faction,6,派系,The party split into two factions.,
Fahrenheit,6,華氏（溫標）,Water freezes at 32 degrees Fahrenheit.,
falter,6,搖晃；猶豫,His voice faltered as he spoke.,
familiarity,6,熟悉,Familiarity with the subject is helpful.,
fascination,6,著迷；魅力,She has a fascination with ancient Egypt.,
feasible,6,可行的,The plan is not feasible.,
feeble,6,虛弱的,The old man was feeble and needed help.,
feminine,6,女性的；女性化的,The dress has a feminine style.,
fertility,6,肥沃；生育力,The soil's fertility is important for farming.,
fiancé/fiance,6,未婚夫（妻）,She introduced her fiancé to her parents.,
fin,6,魚鰭,The fish uses its fins to swim.,
finite,6,有限的,We have a finite amount of time.,
firecracker,6,鞭炮,The children set off firecrackers.,
fireproof,6,防火的,The safe is fireproof.,
fishery,6,漁業；漁場,The fishery provides jobs for the town.,
flake,6,薄片；剝落,A flake of snow landed on my hand.,
flaw,6,瑕疵；缺點,There is a flaw in your argument.,
flourish,6,繁榮興盛；茁壯成長,The business began to flourish.,
flunk,6,不及格；當掉,He flunked the math test.,
foe,6,敵人,He faced his foe bravely.,
folklore,6,民俗；民間傳說,The story is part of local folklore.,
formidable,6,令人望而生畏的；強大的,She is a formidable opponent.,
formulate,6,制定；規劃,They formulated a new policy.,
forsake,6,拋棄；放棄,He would never forsake his family.,
forthcoming,6,即將到來的,The forthcoming election is important.,
fortify,6,強化；加強防禦,They fortified the city walls.,
fowl,6,家禽,They keep fowl for eggs and meat.,
fracture,6,骨折；裂縫,He suffered a fracture in his leg.,
fragrant,6,芳香的,The fragrant flowers filled the garden.,
frantic,6,發狂似的；驚慌失措的,She was frantic when she lost her keys.,
freak,6,怪人；反常的,A freak storm hit the coast.,
friction,6,摩擦；摩擦力,Friction between the two groups increased.,
fume,6,冒煙；發怒,He was fuming about the delay.,
fury,6,狂怒,She was in a fury over the mistake.,
fuse,6,保險絲；融合,The fuse blew and the lights went out.,
fuss,6,小題大作；大驚小怪,Don't make a fuss over a small mistake.,
gallop,6,疾馳；飛奔,The horse began to gallop.,
gangster,6,歹徒；幫派分子,The gangster was arrested.,
garment,6,衣服,She wore a beautiful garment.,
gay,6,同性戀的；愉快的,They are a gay couple.,
glacier,6,冰河,The glacier is melting due to global warming.,
glamorous,6,魅力四射的,She looked glamorous at the party.,
gloom,6,陰暗；憂鬱,A feeling of gloom filled the room.,
goodwill,6,善意,The gift was given as a gesture of goodwill.,
gorilla,6,大猩猩,The gorilla is a powerful animal.,
graze,6,吃草；擦傷,The cows graze in the field.,
growl,6,咆哮,The dog growled at the stranger.,
hacker,6,駭客,The hacker broke into the computer system.,
hamper,6,阻礙；妨礙,The bad weather hampered our progress.,
handicraft,6,手工藝,She sells handicraft at the market.,
harass(ment),6,騷擾,He was accused of sexual harassment.,
harmonica,6,口琴,He played a tune on his harmonica.,
haunt,6,常出沒於；縈繞心頭,The old house is said to be haunted.,
headphone(s),6,耳機,She put on her headphones and listened to music.,
healthful,6,有益健康的,A healthful diet includes fruits and vegetables.,
hearty,6,衷心的；豐盛的,We had a hearty meal.,
hemisphere,6,半球,The Northern Hemisphere is colder in winter.,
heroic,6,英勇的,His heroic actions saved the child.,
hoarse,6,沙啞的,His voice was hoarse from shouting.,
honorary,6,榮譽的,She received an honorary degree.,
hospitality,6,好客；殷勤款待,Thank you for your hospitality.,
hospitalize,6,使住院,He was hospitalized for a week.,
hover,6,盤旋；徘徊,The helicopter hovered above the building.,
hunch,6,預感；直覺,I have a hunch that she is right.,
hurdle,6,跨欄；障礙,The final hurdle is the exam.,
hybrid,6,混合的；混合物,The car is a hybrid of gas and electric.,
imperative,6,必要的；命令的,It is imperative that we leave now.,
incline,6,傾向；使傾斜,I incline to agree with you.,
inclusive,6,包含的；包容的,The price is inclusive of tax.,
induce,6,誘使；引起,Nothing could induce him to change his mind.,
infectious,6,傳染性的,The disease is highly infectious.,
inhabit,6,居住於,Many species inhabit the rainforest.,
inland,6,內陸的；內陸地,They traveled inland from the coast.,
innumerable,6,無數的,There are innumerable stars in the sky.,
inquire,6,詢問；查詢,She inquired about the train schedule.,
insistence,6,堅持,His insistence on perfection annoyed us.,
instinctive,6,本能的,Her reaction was instinctive.,
intake,6,攝取量；納入,Reduce your intake of sugar.,
intervene,6,介入；干預,The teacher intervened in the argument.,
intimacy,6,親密,The intimacy between them was obvious.,
intrude,6,侵入；打擾,I hope I am not intruding.,
intruder,6,入侵者,The intruder was caught by the police.,
invaluable,6,無價的；極珍貴的,Your advice has been invaluable.,
invariably,6,始終如一地；總是,He is invariably late.,
inventory,6,存貨；清單,The store takes inventory at the end of the month.,
isle,6,島；小島,They visited a small isle in the Pacific.,
ivy,6,常春藤,Ivy covered the old wall.,
jade,6,玉,The statue is made of jade.,
janitor,6,工友；管理員,The janitor cleans the school at night.,
jingle,6,叮噹聲,The bells made a jingle.,
jockey,6,騎師,The jockey rode the horse to victory.,
jolly,6,快活的；愉快的,He is a jolly old man.,
kin,6,親屬；家人,His kin live in the countryside.,
kindle,6,點燃；引發,The book kindled her interest in history.,
lavish,6,奢華的；大量的,They threw a lavish party.,
layout,6,版面設計；布局,The layout of the magazine is attractive.,
legislator,6,立法者,The legislator proposed a new law.,
lessen,6,減少,Exercise can lessen stress.,
lethal,6,致命的,The poison is lethal to humans.,
liable,6,應負責任的；易於……的,You are liable for any damage.,
liner,6,班機；客輪,The ocean liner crossed the Atlantic.,
lining,6,襯裡,The coat has a warm lining.,
liter,6,公升,She bought a liter of milk.,
literal,6,字面上的,Don't take his words in a literal sense.,
locker,6,置物櫃,He put his books in his locker.,
lodge,6,小屋；投宿,We stayed at a mountain lodge.,
lofty,6,崇高的；高聳的,He has lofty ambitions.,
longitude,6,經度,The longitude of Taipei is about 121 degrees east.,
lullaby,6,搖籃曲,She sang a lullaby to the baby.,
lure,6,誘惑；誘餌,The store uses discounts to lure customers.,
lush,6,茂盛的,The garden is lush and green.,
maple,6,楓樹,The maple leaves turn red in autumn.,
mar,6,損毀；破壞,The scratches marred the table's surface.,
mediate,6,調解；斡旋,The UN tried to mediate the conflict.,
meditate,6,冥想；沉思,He meditates for twenty minutes every morning.,
merchandise,6,商品,The store sells a variety of merchandise.,
mermaid,6,美人魚,The little girl dressed as a mermaid.,
migrant,6,遷徙的；移民,Migrant workers often face difficulties.,
mimic,6,模仿,He can mimic many famous voices.,
miraculous,6,奇蹟般的,Her recovery was miraculous.,
mischievous,6,頑皮的；惡作劇的,The mischievous boy hid his sister's toy.,
mobilize,6,動員,The army mobilized its troops.,
monarch,6,君主,The monarch ruled for decades.,
moody,6,情緒化的；喜怒無常的,He is moody and hard to please.,
mound,6,土墩；小丘,There is a mound of earth in the garden.,
mournful,6,悲傷的,The mournful music made everyone sad.,
mow,6,割（草）,He mows the lawn every Saturday.,
narrator,6,敘述者；旁白,The narrator's voice was calm and clear.,
nationalism,6,民族主義,Nationalism can lead to conflict.,
navigate,6,航行；導航,He navigated the ship through the storm.,
navigation,6,航行；導航,Navigation systems are common in cars.,
nostril,6,鼻孔,The smell entered his nostrils.,
novice,6,新手,He is a novice at skiing.,
oatmeal,6,燕麥片；燕麥粥,She eats oatmeal for breakfast.,
oblige,6,使有義務；迫使,I am obliged to help you.,
obsess,6,使著迷；使困擾,He is obsessed with video games.,
obstinate,6,頑固的,She is too obstinate to change her mind.,
occurrence,6,發生；事件,Such accidents are a common occurrence.,
octopus,6,章魚,The octopus has eight arms.,
odor,6,氣味,A strange odor came from the kitchen.,
offshore,6,近海的；離岸的,They built an offshore oil platform.,
operative,6,運作中的；有效的,The new system is now operative.,
oppression,6,壓迫,They fought against political oppression.,
ordeal,6,苦難；折磨,The hostages suffered a terrible ordeal.,
orderly,6,有秩序的；井然有序,The crowd was orderly and calm.,
organizer,6,組織者,She is the organizer of the event.,
originate,6,起源；發起,The idea originated in Japan.,
ounce,6,盎司,Add two ounces of cheese.,
outgoing,6,外向的；即將離任的,She is friendly and outgoing.,
outlook,6,展望；看法,His outlook on life is positive.,
outright,6,完全的；直接地,He denied the charge outright.,
overflow,6,氾濫；溢出,The river overflowed after the heavy rain.,
ozone,6,臭氧,The ozone layer protects us from the sun.,
packet,6,小包；包裹,He opened a packet of cookies.,
paddle,6,槳；划船,They paddled the canoe down the river.,
paperback,6,平裝書,I bought a cheap paperback.,
paradox,6,矛盾；似非而是的說法,It is a paradox that he is rich but unhappy.,
parliament,6,國會；議會,The parliament passed the new law.,
pastime,6,消遣；娛樂,Reading is my favorite pastime.,
peacock,6,孔雀,The peacock spread its colorful tail.,
pebble,6,鵝卵石,He picked up a smooth pebble.,
peek,6,偷看；窺視,She peeked through the curtains.,
pending,6,懸而未決的；即將發生的,The decision is still pending.,
peninsula,6,半島,The peninsula is surrounded by water.,
permissible,6,可允許的,It is not permissible to smoke here.,
persevere,6,堅持不懈,She persevered despite many difficulties.,
persistence,6,堅持；毅力,His persistence finally paid off.,
petrol,6,汽油,The car ran out of petrol.,
pharmacist,6,藥劑師,The pharmacist gave me the medicine.,
pickpocket,6,扒手,A pickpocket stole his wallet.,
pinch,6,捏；掐,She gave him a pinch on the arm.,
polar,6,極地的,Polar bears live in the Arctic.,
preach,6,說教；宣揚,The priest preached about love and forgiveness.,
precede,6,先於；在……之前,A short speech preceded the main event.,
precision,6,精確,The work requires great precision.,
prehistoric,6,史前的,Prehistoric cave paintings were discovered.,
premiere,6,首映；首演,The movie premiere was a big event.,
prestige,6,聲望,The university has great prestige.,
priceless,6,無價的,The painting is priceless.,
privatize,6,使民營化,The government decided to privatize the airport.,
procession,6,隊伍；行進,A funeral procession moved slowly.,
proficiency,6,熟練；精通,She has proficiency in three languages.,
propel,6,推進,The engine propels the boat forward.,
prosecute,6,起訴,He was prosecuted for fraud.,
prospective,6,未來的；預期的,Prospective students visited the campus.,
prototype,6,原型,The engineer built a prototype of the machine.,
provisional,6,臨時的；暫時的,They made a provisional agreement.,
psychic,6,心靈的；通靈的,She claims to have psychic powers.,
psychotherapy,6,心理治療,He is undergoing psychotherapy.,
publicize,6,宣傳；公開,The event was well publicized.,
puff,6,喘氣；一陣（煙）,He took a puff of his cigarette.,
purify,6,淨化,The water is purified before drinking.,
qualification,6,資格；證書,She has the right qualifications for the job.,
radiant,6,容光煥發的；發光的,The bride looked radiant.,
radioactive,6,放射性的,The material is highly radioactive.,
radish,6,小蘿蔔,She added radish to the salad.,
radius,6,半徑,The radius of the circle is five inches.,
rap,6,饒舌音樂；敲擊,He likes to listen to rap music.,
rash,6,皮疹；輕率的,It was a rash decision.,
realization,6,領悟；實現,The realization of his dream took years.,
reap,6,收割；獲得,They reap the wheat in summer.,
recreational,6,娛樂的,The park offers many recreational activities.,
redundancy,6,冗餘；裁員,The company announced redundancies.,
reef,6,礁；暗礁,The boat hit a coral reef.,
referee,6,裁判,The referee blew the whistle.,
reflective,6,反射的；沉思的,He is in a reflective mood.,
refute,6,反駁,She refuted his argument with facts.,
relay,6,接力；轉播,The relay race was exciting.,
relentless,6,不屈不撓的；無情的,His relentless pursuit of success paid off.,
reliance,6,依賴,Our reliance on computers is growing.,
reliant,6,依賴的,She is reliant on her parents.,
relic,6,遺跡；遺物,The museum displays ancient relics.,
remainder,6,剩餘部分,The remainder of the cake was eaten.,
reproduce,6,繁殖；複製,Bacteria reproduce quickly.,
reptile,6,爬蟲類,Snakes are reptiles.,
resistant,6,抵抗的；有抵抗力的,This material is resistant to heat.,
restrain,6,抑制；約束,He could not restrain his anger.,
revelation,6,揭露；啟示,The revelation shocked everyone.,
revival,6,復甦；復興,There has been a revival of interest in folk music.,
revolt,6,反叛；叛亂,The people rose in revolt.,
ripple,6,漣漪,A ripple spread across the pond.,
rivalry,6,對抗；競爭,There is fierce rivalry between the two teams.,
roam,6,漫遊；漫步,They roamed the streets at night.,
robust,6,強健的；強壯的,He is a robust young man.,
rotate,6,旋轉；輪流,The earth rotates on its axis.,
rubbish,6,垃圾；廢話,Don't talk rubbish.,
ruthless,6,無情的,The ruthless dictator killed many people.,
scenic,6,風景優美的,We took a scenic drive along the coast.,
screwdriver,6,螺絲起子,He used a screwdriver to open the box.,
scroll,6,捲軸；捲動,Scroll down to see more.,
sculptor,6,雕刻家,The sculptor created a beautiful statue.,
seagull/gull,6,海鷗,A seagull flew over the beach.,
selective,6,選擇性的；挑剔的,She is very selective about her friends.,
serene,6,寧靜的；平靜的,The lake was serene and peaceful.,
sergeant,6,警官；軍士,The sergeant gave orders to his men.,
serial,6,連續的；連續劇,The serial killer was caught.,
serving,6,一份（食物）,This serving is enough for two.,
setback,6,挫折；阻礙,The project suffered a major setback.,
shabby,6,破舊的,He wore a shabby old coat.,
sharpen,6,使銳利；削尖,Please sharpen your pencil.,
shaver,6,電動刮鬍刀,He uses an electric shaver.,
shred,6,碎片；切碎,She shredded the documents.,
shriek,6,尖叫,She let out a shriek of terror.,
shrub,6,灌木,They planted shrubs along the fence.,
shuffle,6,拖著腳走；洗（牌）,He shuffled the cards.,
shutter,6,百葉窗；快門,She closed the shutters.,
simultaneous,6,同時發生的,The two events were simultaneous.,
skeptical,6,懷疑的,I am skeptical about his claims.,
skim,6,略讀；撇去（浮沫）,She skimmed the article quickly.,
slang,6,俚語,Slang is informal language.,
slaughter,6,屠宰；屠殺,The animals were sent for slaughter.,
slay,6,殺害,The hero slew the dragon.,
slump,6,暴跌；萎靡,Sales slumped last quarter.,
sly,6,狡猾的,He gave a sly smile.,
sneaky,6,鬼鬼祟祟的,She was sneaky about reading his diary.,
snore,6,打鼾,He snores loudly.,
sociable,6,善於交際的,She is a sociable person.,
socialist,6,社會主義者,He is a socialist.,
socialize,6,社交；使社會化,She likes to socialize with friends.,
solemn,6,莊嚴的；嚴肅的,The ceremony was solemn.,
soothe,6,安撫；緩和,The music soothed her nerves.,
sorrowful,6,悲傷的,She had a sorrowful expression.,
spacecraft/spaceship,6,太空船,The spacecraft landed on Mars.,
span,6,跨度；持續時間,The bridge has a span of one mile.,
spectacle,6,奇觀；壯觀場面,The parade was a grand spectacle.,
spiral,6,螺旋的；螺旋狀物,The staircase spirals upward.,
splendor,6,壯麗；光輝,The splendor of the palace amazed us.,
spokesperson/spokesman/spokeswoman,6,發言人,The spokesperson gave a brief statement.,
sportsmanship,6,運動家精神,He showed good sportsmanship.,
spotlight,6,聚光燈；使受矚目,The spotlight was on the singer.,
stabilize,6,使穩定,The government tried to stabilize prices.,
starvation,6,飢餓；餓死,Many people died of starvation.,
stepfather,6,繼父,Her stepfather is very kind.,
stepmother,6,繼母,His stepmother treats him well.,
strait,6,海峽,The strait connects two seas.,
strangle,6,勒死；扼殺,He strangled the snake with his bare hands.,
stray,6,迷路的；走失,A stray dog followed me home.,
stroll,6,散步；閒逛,We took a stroll in the park.,
stun,6,使震驚；使暈眩,The news stunned everyone.,
stutter,6,口吃,He stutters when he is nervous.,
stylish,6,時髦的,She wore a stylish hat.,
subordinate,6,下屬的；部屬,He is subordinate to the manager.,
subscription,6,訂閱；訂購,I renewed my magazine subscription.,
surgical,6,外科的；手術的,The surgical procedure was successful.,
surpass,6,超越,He surpassed all expectations.,
suspense,6,懸疑；懸念,The movie was full of suspense.,
swamp,6,沼澤；淹沒,The swamp is home to many birds.,
swarm,6,一群（昆蟲）；成群移動,A swarm of bees flew over the field.,
symbolize,6,象徵,The dove symbolizes peace.,
synthetic,6,合成的；人造的,This jacket is made of synthetic material.,
syrup,6,糖漿,She poured syrup on her pancakes.,
tedious,6,冗長乏味的,The lecture was tedious.,
telecommunications,6,電信,The telecommunications industry is growing.,
tempo,6,節奏；速度,The tempo of the music increased.,
textile,6,紡織品；紡織的,The textile factory produces cloth.,
thereafter,6,此後,"He left the company, and thereafter traveled.",
thermometer,6,溫度計,The thermometer shows 30 degrees.,
tilt,6,傾斜,She tilted her head to one side.,
tiptoe,6,踮著腳尖走,He tiptoed out of the room.,
tornado,6,龍捲風,The tornado destroyed several houses.,
torrent,6,急流；豪雨,A torrent of water rushed down the hill.,
trademark,6,商標,The logo is a registered trademark.,
transcript,6,成績單；文字紀錄,She requested a copy of her transcript.,
treasury,6,國庫；財政部,The treasury issued new bonds.,
trek,6,長途跋涉,They went on a long trek through the mountains.,
trifle,6,瑣事；不重視,Don't waste time on trifles.,
trillion,6,兆,The national debt is over a trillion dollars.,
tropic,6,熱帶地區；熱帶的,The tropic of Cancer passes through Taiwan.,
trout,6,鱒魚,He caught a trout in the river.,
trustee,6,受託人；理事,The trustee manages the estate.,
tuck,6,塞進；捲起,She tucked the children into bed.,
twilight,6,黃昏；微光,We walked home in the twilight.,
unanimous,6,全體一致的,The decision was unanimous.,
unconditional,6,無條件的,The enemy demanded unconditional surrender.,
underneath,6,在……下方,The cat hid underneath the table.,
underpass,6,地下道,We walked through the underpass.,
underway,6,進行中,The construction is underway.,
unification,6,統一,The unification of the two countries took years.,
unveil,6,揭幕；揭露,The company will unveil its new product.,
upright,6,直立的；正直的,He is an upright citizen.,
uprising,6,起義；暴動,The uprising was quickly suppressed.,
upward,6,向上的,The path led upward to the top.,
upward/upwards,6,向上地,She looked upwards at the sky.,
utter,6,完全的；說出,She was in utter shock.,
velvet,6,天鵝絨,The dress is made of red velvet.,
veterinarian/vet,6,獸醫,The vet treated the sick dog.,
veto,6,否決；否決權,The president exercised his veto power.,
vibrate,6,振動,The phone vibrates when it rings.,
vice,6,惡習；副（職）,He was elected vice president.,
victor,6,勝利者,The victor received a gold medal.,
vigorous,6,精力充沛的；有活力的,She took a vigorous walk.,
violinist,6,小提琴家,The violinist played a solo.,
virgin,6,處女；未經開發的,The forest is virgin land.,
vitality,6,活力,She is full of vitality.,
vocational,6,職業的,He took a vocational course in cooking.,
wag,6,搖擺（尾巴）,The dog wagged its tail.,
ward,6,病房；監護,She works in the children's ward.,
wardrobe,6,衣櫥；衣物,She hung her dress in the wardrobe.,
warranty,6,保固；保證書,The computer has a two-year warranty.,
waterproof,6,防水的,This watch is waterproof.,
wharf,6,碼頭,The ship docked at the wharf.,
whiskey/whisky,6,威士忌,He drank a glass of whiskey.,
wholesome,6,有益健康的,Wholesome food is good for you.,
widow/widower,6,寡婦（鰥夫）,The widow lived alone.,
woodpecker,6,啄木鳥,A woodpecker was pecking at the tree.,
workforce,6,勞動力,The company has a large workforce.,
wrestle,6,摔角；搏鬥,He likes to wrestle with his brother.,
wrinkle,6,皺紋,She has wrinkles around her eyes.,
yoga,6,瑜珈,She practices yoga every morning.,
yogurt,6,優格,I eat yogurt for breakfast.,
zoom,6,急速移動；變焦,The camera can zoom in on distant objects.
