word,meaning,sentence,category
star,星星,"I can see many stars at night.","15. Occupations"
warm,溫暖的,"The water is warm.","15. Occupations"
wet,溼的,"My clothes are wet.","15. Occupations"
windy,大風的,"It is windy today.","15. Occupations"
rainbow,彩虹,"A rainbow appeared after the rain.","15. Occupations"
snow,雪,"We played in the snow.","15. Occupations"
snowman,雪人,"We made a snowman.","15. Occupations"
typhoon,颱風,"The typhoon is coming.","15. Occupations"
wind,風,"The wind blows strongly.","15. Occupations"
blow,吹,"The wind blows the leaves.","15. Occupations"
rain,下雨,"It started to rain.","15. Occupations"
sky,天空,"Birds fly in the sky.","15. Occupations"
sun,太陽,"The sun is bright today.","15. Occupations"
air,空氣,"We need clean air.","15. Occupations"
earth,地球,"We live on Earth.","15. Occupations"
moon,月亮,"The moon is full tonight.","15. Occupations"
animal,動物,"I love animals.","15. Occupations"
bear,熊,"The bear is big.","15. Occupations"
cat,貓,"My cat is cute.","15. Occupations"
cow,牛,"Cows give milk.","15. Occupations"
dog,狗,"I have a dog.","15. Occupations"
duck,鴨子,"The duck swims in the pond.","15. Occupations"
elephant,大象,"The elephant is huge.","15. Occupations"
fox,狐狸,"The fox is sneaky.","15. Occupations"
frog,青蛙,"I saw a frog in the pond.","15. Occupations"
goat,山羊,"The goat eats grass.","15. Occupations"
goose,鵝,"The goose is white.","15. Occupations"
hen,母雞,"The hen lays eggs.","15. Occupations"
hippo,河馬,"Hippos like water.","15. Occupations"
horse,馬,"She rides a horse.","15. Occupations"
kangaroo,袋鼠,"Kangaroos jump.","15. Occupations"
koala,無尾熊,"Koalas sleep in trees.","15. Occupations"
lion,獅子,"The lion is the king of beasts.","15. Occupations"
monkey,猴子,"The monkey climbs the tree.","15. Occupations"
mouse,老鼠,"I see a mouse in the house.","15. Occupations"
pet,寵物,"She has a pet cat.","15. Occupations"
pig,豬,"The pig is pink.","15. Occupations"
puppy,小狗,"Our puppy is playful.","15. Occupations"
rabbit,兔子,"The rabbit has long ears.","15. Occupations"
rat,大老鼠,"Rats are rodents.","15. Occupations"
sheep,綿羊,"Sheep have wool.","15. Occupations"
tiger,老虎,"The tiger is dangerous.","15. Occupations"
turkey,火雞,"We ate turkey on Thanksgiving.","15. Occupations"
zebra,斑馬,"The zebra has stripes.","15. Occupations"
insect,昆蟲,"I study insects in biology.","15. Occupations"
ant,螞蟻,"The ant carries food.","15. Occupations"
bat,蝙蝠,"Bats fly at night.","15. Occupations"
bee,蜜蜂,"Bees make honey.","15. Occupations"
bird,鳥,"The bird sings.","15. Occupations"
bug,蟲,"The bug is crawling.","15. Occupations"
butterfly,蝴蝶,"Butterflies are beautiful.","15. Occupations"
dragon,龍,"The dragon is a myth.","15. Occupations"
snake,蛇,"Snakes are reptiles.","15. Occupations"
spider,蜘蛛,"The spider makes a web.","15. Occupations"
shark,鯊魚,"Sharks live in the ocean.","15. Occupations"
turtle,烏龜,"The turtle is slow.","15. Occupations"
be,動詞，助動詞,"I want to be a teacher.","15. Occupations"
may (might) must,必須,"You may go now.","19. Prepositions"
shall,應該,"I shall help you.","19. Prepositions"
should,應該可能,"You should do your homework.","19. Prepositions"
about,大約,"I have about ten dollars.","19. Prepositions"
above,在…之上,"Look above the sky.","19. Prepositions"
after,在,"We eat after school.","19. Prepositions"
along,沿著,"We walk along the river.","19. Prepositions"
around,附近,"I will be around here.","19. Prepositions"
beside,在…旁邊,"I sit beside my friend.","19. Prepositions"
at,在,"I am at home.","19. Prepositions"
before,在…之前,"We arrive before noon.","19. Prepositions"
behind,在…之後,"He is behind the door.","19. Prepositions"
below,在,"The cat is below the table.","19. Prepositions"
by,靠；被,"I go to school by bus.","19. Prepositions"
down,下,"She fell down the stairs.","19. Prepositions"
during,在..期間,"I read a book during the break.","19. Prepositions"
under,在…之下,"The pen is under the desk.","19. Prepositions"
behind in front of until,直到,"I will wait until you come.","19. Prepositions"
from,從,"I am from Taiwan.","19. Prepositions"
in,在…裡面在…後面在…前面,"The book is in the bag.","19. Prepositions"
inside,在…裡面,"I am inside the house.","19. Prepositions"
near,附近,"The station is near the park.","19. Prepositions"
on,在…上面,"The book is on the table.","19. Prepositions"
since,自從,"I have been here since morning.","19. Prepositions"
outside,外面,"I am outside.","19. Prepositions"
over,在,"The plane flew over the city.","19. Prepositions"
next to,在旁邊,"The bank is next to the post office.","19. Prepositions"
than,比,"She is taller than me.","19. Prepositions"
with,跟,"I go with my friend.","19. Prepositions"
without,沒有越過,"I cannot live without water.","19. Prepositions"
comfortable healthy,健康的,"I feel comfortable in this chair.","19. Prepositions"
sick,生病的,"He feels sick.","19. Prepositions"
strong,強壯的,"He is strong.","19. Prepositions"
tired,疲勞的舒服的,"I am tired after work.","19. Prepositions"
weak,無力的；,"I feel weak today.","19. Prepositions"
well,好的,"I hope you get well soon.","19. Prepositions"
headache,頭痛,"I have a headache.","19. Prepositions"
fever,發燒虛弱的,"She has a fever.","19. Prepositions"
sore throat health,健康,"My throat is sore.","19. Prepositions"
life,生命;生活,"Life is beautiful.","19. Prepositions"
medicine,藥喉嚨痛,"Take your medicine.","19. Prepositions"
of Address,稱謂,"What is your address?","19. Prepositions"
Miss,小姐,"Miss Smith is our teacher.","19. Prepositions"
Sir,先生/長官,"Excuse me, sir.","19. Prepositions"
Name,名字,"What is your name?","19. Prepositions"
cent,分,"This costs 50 cents.","19. Prepositions"
change,零錢,"I need change for a dollar.","19. Prepositions"
dollar,元,"I have ten dollars.","19. Prepositions"
money,錢,"Money is important.","19. Prepositions"
price,價錢,"The price is too high.","19. Prepositions"
borrow,借來,"Can I borrow your pen?","19. Prepositions"
buy,買,"I buy a new book.","19. Prepositions"
cost,花費,"The cost is $5.","19. Prepositions"
lend,借出,"Please lend me your pencil.","19. Prepositions"
pay,付錢,"I pay for my meal.","19. Prepositions"
spend,花錢,"I spend too much money.","19. Prepositions"
cheap,便宜的,"This is very cheap.","19. Prepositions"
expensive,貴的,"This is expensive.","19. Prepositions"
bowl,碗,"I eat rice in a bowl.","19. Prepositions"
chopsticks,筷子,"I use chopsticks to eat.","19. Prepositions"
dish,盤子,"I put the food on a dish.","19. Prepositions"
fork,叉子,"I use a fork to eat salad.","19. Prepositions"
knife,刀子,"Use a knife to cut bread.","19. Prepositions"
plate,盤子,"The plate is clean.","19. Prepositions"
spoon,湯匙,"I use a spoon for soup.","19. Prepositions"
straw,吸管,"I drink juice with a straw.","19. Prepositions"
black,黑色,"I like black pants.","19. Prepositions"
blue,藍色,"The sky is blue.","19. Prepositions"
brown,棕色,"The bear is brown.","19. Prepositions"
color,顏色,"What color is your hair?","19. Prepositions"
gray,灰色,"The clouds are gray.","19. Prepositions"
green,綠色,"The grass is green.","19. Prepositions"
pink,粉紅色,"She has a pink dress.","19. Prepositions"
purple,紫色,"I love purple grapes.","19. Prepositions"
red,紅色,"I have a red shirt.","19. Prepositions"
yellow,黃色,"The sun is yellow.","19. Prepositions"
country,國家,"Japan is a beautiful country.","19. Prepositions"
world,世界,"We live in a big world.","19. Prepositions"
America,美國,"I want to visit America.","19. Prepositions"
China,中國,"China is famous for its food.","19. Prepositions"
Taiwan,台灣,"I live in Taiwan.","19. Prepositions"
ROC,中華民國,"ROC stands for Republic of China.","19. Prepositions"
USA,美國,"The USA is a large country.","19. Prepositions"
Taiwanese,台語,"I speak Taiwanese.","19. Prepositions"
Christmas,聖誕節,"We celebrate Christmas in winter.","27. Geographical terms"
Day Easter,復活節萬聖節元旦母親節,"Easter is a spring holiday.","27. Geographical terms"
Day Festival,節慶,"We have a festival at school.","27. Geographical terms"
Holiday,假日,"I enjoy the holiday.","27. Geographical terms"
Vacation,假期,"We are on vacation.","27. Geographical terms"
Celebrate,慶祝父親節,"We celebrate Father's Day.","27. Geographical terms"
hill,山丘,"We climbed a steep hill.","27. Geographical terms"
island,島嶼,"We went to a small island.","27. Geographical terms"
lake,湖,"We swam in the lake.","27. Geographical terms"
mountain,山,"We climbed a mountain.","27. Geographical terms"
pond,池塘,"The pond is full of fish.","27. Geographical terms"
pool,泳池,"We swim in the pool.","27. Geographical terms"
river,河流,"The river flows to the sea.","27. Geographical terms"
sea,海,"We watched the sunset over the sea.","27. Geographical terms"
a,一...,"I have a dog.","27. Geographical terms"
every,每一...,"I get up at 6 every morning.","27. Geographical terms"
the,冠詞,"The book is on the table.","27. Geographical terms"
this,這個,"This is my house.","27. Geographical terms"
that,那個,"That is a beautiful flower.","27. Geographical terms"
these,這些,"These are my friends.","27. Geographical terms"
those,那些,"Those are expensive shoes.","27. Geographical terms"
my,我的,"This is my pen.","27. Geographical terms"
our,我們的,"Our house is big.","27. Geographical terms"
your,你的,"I like your hat.","27. Geographical terms"
his,他的,"His dog is friendly.","27. Geographical terms"
her,她的,"Her book is on the desk.","27. Geographical terms"
its,它的,"The cat is licking its paws.","27. Geographical terms"
their,他們的,"Their house is near the park.","27. Geographical terms"
how,如何,"How are you?","27. Geographical terms"
and,和,"I like apples and oranges.","27. Geographical terms"
as,跟...一樣,"I am as tall as you.","27. Geographical terms"
because,因為,"I stay home because it's raining.","27. Geographical terms"
but,可是,"I like dogs but not cats.","27. Geographical terms"
however,但是,"I want to go; however, I am busy.","27. Geographical terms"
if,如果,"If it rains, we will stay home.","27. Geographical terms"
or,或,"Do you want tea or coffee?","27. Geographical terms"
though,雖然,"Though it was hot, we walked.","27. Geographical terms"
action,動作,"We need to take action.","27. Geographical terms"
age,年紀,"What is your age?","27. Geographical terms"
American,美國,"He is an American.","27. Geographical terms"
trouble,麻煩人(的),"He is in trouble.","27. Geographical terms"
bell,鈴鐺,"The school bell rings.","27. Geographical terms"
birthday,生日,"Today is my birthday.","27. Geographical terms"
bottom,底部,"The pen is at the bottom of the bag.","27. Geographical terms"
cage,籠子,"The bird is in a cage.","27. Geographical terms"
voice,聲音,"She has a sweet voice.","27. Geographical terms"
case,實例,"In that case, I will come.","27. Geographical terms"
castle,城堡,"There is a castle by the river.","27. Geographical terms"
cellphone,手機,"I use a cellphone to call my friend.","27. Geographical terms"
center,中心,"The park is in the center of the city.","27. Geographical terms"
chance,機會,"I have a chance to study abroad.","27. Geographical terms"
excuse,抱歉;,"Please excuse me.","27. Geographical terms"
club,俱樂部,"I joined a chess club.","27. Geographical terms"
corner,角落,"The store is on the corner.","27. Geographical terms"
dream,夢,"I had a dream last night.","27. Geographical terms"
e-mail,電郵借口,"I send an e-mail to my teacher.","27. Geographical terms"
experience,經驗,"I have work experience.","27. Geographical terms"
fact,事實,"That is a fact.","27. Geographical terms"
fire,火,"Don't play with fire.","27. Geographical terms"
foreigner,外國人,"He is a foreigner.","27. Geographical terms"
flower,花,"She picked a flower.","27. Geographical terms"
fun,有趣的,"We had fun at the party.","27. Geographical terms"
garbage,垃圾,"Please throw away the garbage.","27. Geographical terms"
gas,瓦斯,"The car runs on gas.","27. Geographical terms"
ghost,鬼魂,"I am afraid of ghosts.","27. Geographical terms"
gift,禮物,"I received a gift.","27. Geographical terms"
grass,草,"We sat on the grass.","27. Geographical terms"
ground,地面,"The ball hit the ground.","27. Geographical terms"
group,團,"We work in groups.","27. Geographical terms"
habit,習慣,"She has a habit of biting her nails.","27. Geographical terms"
heat,熱氣,"The heat is unbearable.","27. Geographical terms"
honey,蜂蜜,"I like honey on my toast.","27. Geographical terms"
idea,主意,"That's a good idea.","27. Geographical terms"
Internet,網路,"I surf the Internet.","27. Geographical terms"
interview,面試,"I have a job interview.","27. Geographical terms"
joy,喜悅,"She was filled with joy.","27. Geographical terms"
matter,事;東西,"What's the matter?","27. Geographical terms"
leader,領導者,"He is our team leader.","27. Geographical terms"
lid,蓋子,"Put the lid back on.","27. Geographical terms"
mail,郵件,"I received an important mail.","27. Geographical terms"
meeting,會議,"We have a meeting at 2 p.m.","27. Geographical terms"
mind,心靈,"Do you mind if I open the window?","27. Geographical terms"
mistake,錯誤,"I made a mistake.","27. Geographical terms"
mud,泥,"The ground is covered in mud.","27. Geographical terms"
news,新聞,"I watch the news every evening.","27. Geographical terms"
note,筆記;記,"I wrote a note in my notebook.","27. Geographical terms"
newspaper,報紙,"I read a newspaper.","27. Geographical terms"
noise,吵鬧聲,"Please stop the noise.","27. Geographical terms"
party,派對錄,"We had a party for her birthday.","27. Geographical terms"
way,方向;方,"Which way should I go?","27. Geographical terms"
photo,相片,"I take a photo with my camera.","27. Geographical terms"
word,文字,"What's the meaning of this word?","27. Geographical terms"
planet,星球,"Jupiter is a large planet.","27. Geographical terms"
player,球員法,"He is a good player.","27. Geographical terms"
trash,垃圾,"We throw away the trash.","32. Other verbs"
power,力量,"Knowledge is power.","32. Other verbs"
robot,機器人,"The robot can walk.","32. Other verbs"
rock,石頭,"I threw a rock into the lake.","32. Other verbs"
tree,樹,"The tree is tall.","32. Other verbs"
rose,玫瑰,"She gave me a rose.","32. Other verbs"
rule,規則,"We have to follow the rules.","32. Other verbs"
sale,買賣,"The store has a big sale today.","32. Other verbs"
screen,螢幕,"I have a new phone screen.","32. Other verbs"
seat,座位,"Please take a seat.","32. Other verbs"
seed,種子,"I planted a seed in the garden.","32. Other verbs"
sentence,句子,"Write a sentence using this word.","32. Other verbs"
set,設定,"Set the timer for 10 minutes.","32. Other verbs"
side,邊,"Which side do you want?","32. Other verbs"
space,空間;太空,"There is no space for more chairs.","32. Other verbs"
sight,視線,"He lost his sight.","32. Other verbs"
smile,微笑,"She has a nice smile.","32. Other verbs"
subject,科目,"Math is my favorite subject.","32. Other verbs"
swing,盪,"The swing goes back and forth.","32. Other verbs"
thing,東西,"What is that thing?","32. Other verbs"
ticket,票,"I bought a ticket for the concert.","32. Other verbs"
tool,工具,"A hammer is a useful tool.","32. Other verbs"
feel,感覺,"I feel happy today.","32. Other verbs"
hear,聽,"Can you hear the music?","32. Other verbs"
look,看,"Look at the bird.","32. Other verbs"
see,看,"I can see the moon.","32. Other verbs"
smell,聞,"I can smell the flowers.","32. Other verbs"
sound,聲音,"That sounds great.","32. Other verbs"
taste,品嘗,"This soup tastes good.","32. Other verbs"
check,確認,"Please check your answers.","32. Other verbs"
end,結束,"The movie ends at nine.","32. Other verbs"
finish,完成,"I finish my homework.","32. Other verbs"
believe,相信,"I believe you.","32. Other verbs"
forget,忘記,"Don't forget to bring your book.","32. Other verbs"
guess,猜,"Can you guess the answer?","32. Other verbs"
hate,恨,"I hate spiders.","32. Other verbs"
hope,希望,"I hope you come.","32. Other verbs"
know,知道,"I know the answer.","32. Other verbs"
like,喜歡,"I like chocolate.","32. Other verbs"
love,愛,"I love my family.","32. Other verbs"
need,需要,"I need some water.","32. Other verbs"
notice,注意,"Did you notice the changes?","32. Other verbs"
remember,記得,"I remember your name.","32. Other verbs"
surprise,驚喜,"What a nice surprise!","32. Other verbs"
think,想,"I think it's a good idea.","32. Other verbs"
want,想要,"I want to go home.","32. Other verbs"
wish,希望,"I wish I could fly.","32. Other verbs"
worry,煩惱,"Don't worry about it.","32. Other verbs"
act,演,"He acts well in the play.","32. Other verbs"
visit,訪視,"I visit my grandmother every Sunday.","32. Other verbs"
break,打破,"I break my pencil.","32. Other verbs"
bring,帶來,"Bring your umbrella.","32. Other verbs"
brush,刷,"I brush my hair.","32. Other verbs"
cheat,作弊;欺騙,"Don't cheat in the exam.","32. Other verbs"
carry,攜帶,"I carry my bag.","32. Other verbs"
catch,接,"Catch the ball!","32. Other verbs"
choose,選擇,"Choose a color.","32. Other verbs"
clap,拍手,"We clap our hands.","32. Other verbs"
close,關,"Please close the window.","32. Other verbs"
come,來,"Come here.","32. Other verbs"
collect,收集,"I collect stamps.","32. Other verbs"
correct,正確,"Your answer is correct.","32. Other verbs"
copy,拷貝,"Please copy this sentence.","32. Other verbs"
count,算,"I count from one to ten.","32. Other verbs"
cover,蓋,"Cover the pot with a lid.","32. Other verbs"
cry,哭,"She cries when sad.","32. Other verbs"
cut,切,"I cut the cake.","32. Other verbs"
dig,挖,"I dig a hole.","32. Other verbs"
hide,躲,"The cat hides under the bed.","32. Other verbs"
enter,進入,"Please enter the room.","32. Other verbs"
feed,餵,"I feed the dog.","32. Other verbs"
fight,打鬥,"We should not fight.","32. Other verbs"
follow,跟,"Follow me.","32. Other verbs"
wait,等,"Please wait for me.","32. Other verbs"
go,去,"Let's go.","32. Other verbs"
try,試,"I try my best.","32. Other verbs"
help,幫,"Please help me.","32. Other verbs"
hit,打,"Don't hit your brother.","32. Other verbs"
hold,拿,"I hold my bag.","32. Other verbs"
hop,跳,"The frog hops.","32. Other verbs"
hunt,打獵,"Hunt for the treasure.","32. Other verbs"
hurry,催促,"Hurry up!","32. Other verbs"
jump,跳,"I jump high.","32. Other verbs"
kick,踢,"I kick the ball.","32. Other verbs"
knock,敲,"I knock on the door.","32. Other verbs"
kill,殺,"Killing animals is wrong.","32. Other verbs"
kiss,親,"She kisses her baby.","32. Other verbs"
laugh,笑,"We laugh at the joke.","32. Other verbs"
leave,離開,"I leave at 8 o'clock.","32. Other verbs"
list,列清單,"I make a list.","32. Other verbs"
make,做,"I make a cake.","32. Other verbs"
move,移動;搬家,"We move to a new house.","32. Other verbs"
meet,相遇,"Let's meet at the station.","32. Other verbs"
nod,點頭,"She nods her head.","32. Other verbs"
open,開,"I open the door.","32. Other verbs"
paste,黏,"I paste the picture.","32. Other verbs"
pick,撿,"Pick up your toys.","32. Other verbs"
plant,植物,"I plant flowers.","32. Other verbs"
pull,拉,"Pull the rope.","32. Other verbs"
push,推,"Push the button.","32. Other verbs"
put,放,"Put the book on the shelf.","32. Other verbs"
rise,升起,"The sun rises in the east.","32. Other verbs"
roll,滾,"The ball rolls away.","32. Other verbs"
run,跑,"I run every morning.","32. Other verbs"
rest,休息,"I need to rest.","32. Other verbs"
shout,大叫,"He shouts loudly.","32. Other verbs"
smoke,煙,"I see smoke.","32. Other verbs"
sign,簽,"Please sign here.","32. Other verbs"
stand,站,"Stand up.","32. Other verbs"
take,拿,"I take my book.","32. Other verbs"
tell,說,"I tell a story.","32. Other verbs"
throw,丟,"I throw the ball.","32. Other verbs"
touch,摸,"Don't touch the paint.","32. Other verbs"
type,打字,"I type my report.","32. Other verbs"
use,使用,"I use a computer.","32. Other verbs"
walk,走路,"I walk to school.","32. Other verbs"
wave,揮舞,"She waves her hand.","32. Other verbs"
mop,抹,"I mop the floor.","32. Other verbs"
agree,同意,"I agree with you.","32. Other verbs"
appear,出現,"Stars appear at night.","32. Other verbs"
welcome,歡迎,"Welcome to my home.","32. Other verbs"
become,成為,"I want to become a doctor.","32. Other verbs"
begin,開始,"The movie begins at 7.","32. Other verbs"
belong,屬於,"This book belongs to me.","32. Other verbs"
call,打電話;叫,"I call my mom.","32. Other verbs"
care,關心,"I care about the environment.","32. Other verbs"
date,給日期,"We date our letters.","32. Other verbs"
deal,交易,"We make a deal.","32. Other verbs"
decide,決定,"I decide to go.","32. Other verbs"
die,死,"Plants die without water.","32. Other verbs"
enjoy,享受,"I enjoy reading.","32. Other verbs"
fill,填滿,"I fill the glass with water.","32. Other verbs"
find,找,"I find my keys.","32. Other verbs"
get,得到,"I get a new book.","32. Other verbs"
give,給,"I give you a gift.","32. Other verbs"
happen,發生,"What will happen next?","32. Other verbs"
wake,叫醒,"I wake up at 7.","32. Other verbs"
hurt,傷害,"I hurt my leg.","32. Other verbs"
invite,邀請,"I invite you to my party.","32. Other verbs"
join,參加,"I join the club.","32. Other verbs"
keep,保留,"I keep my room clean.","32. Other verbs"
lead,領導,"He leads the team.","32. Other verbs"
let,讓,"Let me help you.","32. Other verbs"
lie,騙,"Don't lie to me.","32. Other verbs"
mean,意指,"What does this word mean?","32. Other verbs"
plan,計畫,"We plan a trip.","32. Other verbs"
please,請;拜託,"Please sit down.","32. Other verbs"
pray,祈禱,"I pray every night.","32. Other verbs"
thank,謝謝,"Thank you for your help.","32. Other verbs"
save,記錄;救,"Save your work.","32. Other verbs"
sell,賣,"I sell my old books.","32. Other verbs"
send,寄,"I send a letter.","32. Other verbs"
share,分享,"I share my lunch.","32. Other verbs"
show,展示,"Show me your drawing.","32. Other verbs"
sit,坐,"I sit on the chair.","33. Other adjectives"
sleep,睡,"I sleep at night.","33. Other adjectives"
start,開始,"We start class at 8.","33. Other adjectives"
stay,留下,"I stay at home.","33. Other adjectives"
stop,停止,"The rain stops.","33. Other adjectives"
common,共同的;,"This is a common mistake.","33. Other adjectives"
convenient able,可以,"It is convenient to live near the station.","33. Other adjectives"
afraid,害怕,"I am afraid of spiders.","33. Other adjectives"
bright,亮的平常的方便的,"The room is bright.","33. Other adjectives"
dangerous,危險,"Driving fast is dangerous.","33. Other adjectives"
dark,暗的,"It is dark outside.","33. Other adjectives"
dead,死的,"The flower is dead.","33. Other adjectives"
dear,親愛的的,"My dear friend.","33. Other adjectives"
different,不同的,"I have a different idea.","33. Other adjectives"
difficult,難的,"This test is difficult.","33. Other adjectives"
dirty,髒的,"My shirt is dirty.","33. Other adjectives"
easy,簡單的,"This exercise is easy.","33. Other adjectives"
else,其他,"Do you want anything else?","33. Other adjectives"
excellent,太棒的,"Excellent work!","33. Other adjectives"
favorite,最喜歡,"My favorite color is blue.","33. Other adjectives"
enough,夠的,"I have enough money.","33. Other adjectives"
fine,好的,"I am fine, thank you.","33. Other adjectives"
foreign,外來的的,"I like foreign movies.","33. Other adjectives"
free,免費的;空,"The ticket is free.","33. Other adjectives"
hard,硬的;難的,"The exam is hard.","33. Other adjectives"
fresh,新鮮的,"I buy fresh vegetables.","33. Other adjectives"
glad,快樂的,"I am glad to meet you.","33. Other adjectives"
great,好的閒的,"That's great!","33. Other adjectives"
helpful important interesting loud,大聲的,"The music is too loud.","33. Other adjectives"
lucky,幸運的有幫助的重要的有趣的,"You are lucky!","33. Other adjectives"
magic,魔術,"The magic trick was amazing.","33. Other adjectives"
modern,摩登的,"This building is modern.","33. Other adjectives"
national,國家的,"We celebrate our national day.","33. Other adjectives"
new,新的,"I have a new phone.","33. Other adjectives"
only,只有,"I am the only one here.","33. Other adjectives"
popular possible other,其他的,"This restaurant is very popular.","33. Other adjectives"
own,自己,"I have my own room.","33. Other adjectives"
public,公開的,"This is a public park.","33. Other adjectives"
quiet,安靜的,"Please be quiet.","33. Other adjectives"
ready,準備好的,"We are ready to go.","33. Other adjectives"
real,真的,"Is that real gold?","33. Other adjectives"
safe,安全的,"This place is safe.","33. Other adjectives"
same,一樣的,"We have the same book.","33. Other adjectives"
scared,驚嚇的,"I am scared of the dark.","33. Other adjectives"
serious,認真的,"He is very serious.","33. Other adjectives"
wrong,錯誤的,"That answer is wrong.","33. Other adjectives"
simple,簡易的,"This is a simple problem.","33. Other adjectives"
sorry,對不起,"I am sorry.","33. Other adjectives"
special,特別的,"Today is a special day.","33. Other adjectives"
strange,奇怪的,"I heard a strange sound.","33. Other adjectives"
sure,確定的,"I am sure about it.","33. Other adjectives"
surprised,驚喜,"I am surprised to see you.","33. Other adjectives"
terrible,恐怖的,"The food tasted terrible.","33. Other adjectives"
true,真的,"It is true.","33. Other adjectives"
wonderful,好的,"We have a wonderful time.","33. Other adjectives"
useful,有用的,"This tool is useful.","33. Other adjectives"
always,總是,"I always get up early.","33. Other adjectives"
ever,曾經,"Have you ever been to Japan?","33. Other adjectives"
never,從不,"I never tell lies.","33. Other adjectives"
often,時常,"I often read books.","33. Other adjectives"
seldom,很少,"I seldom eat fast food.","33. Other adjectives"
sometimes,有時,"Sometimes I go to the park.","33. Other adjectives"
usually,通常,"I usually have breakfast at 7.","33. Other adjectives"
again,再次,"I will try again.","33. Other adjectives"
also,也,"I also like pizza.","33. Other adjectives"
away,離開,"Please go away.","33. Other adjectives"
too,也;太,"I want to go too.","33. Other adjectives"
almost,幾乎,"It is almost time to go.","33. Other adjectives"
even,甚至,"He even helped me.","33. Other adjectives"
finally,最後,"Finally, I finished my homework.","33. Other adjectives"
least,最少,"She has the least money.","33. Other adjectives"
maybe,可能,"Maybe it will rain.","33. Other adjectives"
perhaps,大概,"Perhaps we can go later.","33. Other adjectives"
really,真的,"I really like this song.","33. Other adjectives"
so,所以,"It rained, so we stayed home.","33. Other adjectives"
still,仍然,"I am still sleepy.","33. Other adjectives"
then,然後,"Then we went home.","33. Other adjectives"
together,一起,"We play together.","33. Other adjectives"
very,非常,"I am very happy.","33. Other adjectives"
quite,相當,"It is quite hot today.","33. Other adjectives"
yet,還沒,"I haven't finished yet.","33. Other adjectives"
somewhere,某地,"I want to go somewhere warm.","33. Other adjectives"
either,也不,"I don't like it either.","33. Other adjectives"
yes(yeah),是,"Yes, I agree.","33. Other adjectives"
