word,level,meaning,sentence
pump,3,泵,The pump brings water from the well.
pure,3,純淨的,The water is pure and clean.
purse,3,錢包,She lost her purse.
queer,3,奇怪的,He gave me a queer look.
quit,3,停止,He quit smoking last year.
quote,3,引用,She likes to quote famous people.
racial,3,種族的,They fought against racial discrimination.
rag,3,破布,He cleaned the car with a rag.
rank,3,等級；並排,He holds a high rank in the army.
rate,3,比率；評估,The unemployment rate is falling.
raw,3,生的,Do not eat raw meat.
ray,3,光線,A ray of sunlight came through the clouds.
razor,3,舌」鬍刀,He shaved with a razor.
react,3,反應,How did she react to the news?
reaction,3,反應,His reaction was unexpected.
reasonable,3,有理由的；合理的,The price is reasonable.
receipt,3,收到；收據,Keep the receipt for returns.
receiver,3,接受者；受話器,She picked up the receiver.
recognize,3,承認,I did not recognize him at first.
recorder,3,記錄者,The recorder saved the data.
reduce,3,減少,We need to reduce our costs.
regional,3,地區的,The regional dialect is different.
regret,3,哀傷；遺憾,I regret not studying harder.
relax,3,放鬆,Take a deep breath and relax.
release,3,解放,The prisoner was released.
reliable,3,可信賴的,He is a reliable friend.
relief,3,解除,It was a relief to hear the news.
religious,3,狂熱信仰的,She is very religious.
rely,3,信賴,You can rely on me.
remain,3,殘留,Only a few pieces remain.
remind,3,使想起,Please remind me to call her.
remote,3,遠離的,The village is remote and quiet.
represent,3,描寫,The painting represents a battle.
representative,3,象徵的；例子,He is a representative of the company.
republic,3,共和國,France is a republic.
request,3,要求,They made a special request.
reserve,3,預備,I reserve a table for two.
resist,3,反抗,He could not resist the temptation.
resource,3,財產；資產,Water is a natural resource.
response,3,回答,I got no response.
responsibility,3,責任,It is your responsibility.
restrict,3,限制,The law restricts smoking.
reveal,3,揭露,He revealed the secret.
ribbon,3,絲帶,She tied her hair with a ribbon.
rid,3,解除；免談,Get rid of that old chair.
ripe,3,成熟的,The bananas are ripe.
risk,3,危險,There is a risk of fire.
roar,3,怒吼,The lion roared loudly.
roast,3,吐司,She roasted the chicken.
rob,3,搶劫,They robbed the bank.
robe,3,長袍,The judge wore a black robe.
rocket,3,火箭,The rocket launched into space.
romantic,3,羅曼蒂克的,It was a romantic dinner.
rot,3,腐敗；腐朽,The fruit began to rot.
rotten,3,腐敗的,The apple is rotten.
rough,3,不平的；粗魯的,The road is rough.
roughly,3,大體上,Roughly speaking it will take an hour.
routine,3,慣常的,My daily routine is simple.
rug,3,小地毯,There is a rug on the floor.
rumor,3,謠言,There is a rumor about the merger.
rush,3,衝；急速前進,Do not rush your homework.
rust,3,銹；生銹,The old car is covered with rust.
sack,3,大袋子,He carried a sack of rice.
sake,3,為二好處著想,For the sake of your health quit smoking.
salary,3,薪水,She earns a good salary.
satisfactory,3,滿意的,The result was satisfactory.
sauce,3,醬料,She made tomato sauce.
sausage,3,香腸,He ate a sausage for breakfast.
saving(s),3,存款,She used her savings to buy a car.
scale(s),3,標準,The scale shows your weight.
scarf,3,領巾,She wore a warm scarf.
scary,3,可怕的,The movie was too scary for children.
scatter,3,散開,The wind scattered the leaves.
scholar,3,學者,He is a famous scholar.
scientific,3,科學的,We need a scientific approach.
scientist,3,科學家,The scientist made a discovery.
scout,3,偵察機,The scout reported the enemy's position.
scream,3,尖叫聲；尖叫,She let out a scream.
seal,3,海豹；印章,The letter had a wax seal.
security,3,安全,The airport has tight security.
semester,3,一學期,This semester is almost over.
sensible,3,明智的,It was a sensible decision.
separation,3,分開,The separation from her family was hard.
sexual,3,男女之問的,They discussed sexual health.
shadow,3,陰影,The tree cast a long shadow.
shallow,3,淺的,The water is shallow here.
shampoo,3,洗髮(精),She bought a new shampoo.
shepherd,3,牧羊人；引導,The shepherd led the sheep.
shiny,3,閃爍的,Her hair is shiny and healthy.
shorten,3,使縮短,They decided to shorten the meeting.
shrimp,3,小蝦；矮子,We had shrimp for dinner.
shrink,3,縮小,The shirt will shrink in hot water.
sigh,3,嘆息,She gave a deep sigh.
signal,3,信號,The signal was weak.
significant,3,重要的,This is a significant discovery.
silk,3,絲,The dress is made of silk.
similarity,3,相似之處,There is a similarity between the two.
sin,3,罪惡,He confessed his sin.
sincere,3,真心誠意的,She gave a sincere apology.
sink,3,洗滌槽,The dishes are in the sink.
situation,3,形勢,The situation is under control.
skate,3,冰鞋；溜冰,They skate on the frozen lake.
skillful,3,熟練的,He is a skillful driver.
skinny,3,消瘦的,He is tall and skinny.
skip,3,輕跳；略過,She skipped the first chapter.
slave,3,奴隸,The slaves were set free.
sleeve,3,衣服袖子,The sleeve is too long.
slender,3,修長的；苗條的,She has a slender figure.
slice,3,片,He ate a slice of cake.
slippery,3,滑溜的,The floor is slippery when wet.
slope,3,斜坡,The house is on a steep slope.
snap,3,快照；突然折斷,The branch snapped in the wind.
solid,3,堅固的,The table is made of solid wood.
someday,3,有朝一日,Someday I will travel the world.
somehow,3,不知怎麼地,Somehow he finished the race.
sometime,3,在將來某個時候,Let us meet sometime next week.
sorrow,3,悲傷,Her eyes were full of sorrow.
spaghetti,3,義大利麵條,We had spaghetti for lunch.
specific,3,明確的,Give me a specific example.
spice,3,香料；加香料於,Add some spice to the soup.
spill,3,溢出；濺出,Be careful not to spill the milk.
spinach,3,菠菜,Spinach is rich in iron.
spit,3,口水；吐,Do not spit on the street.
spite,3,惡意,He did it out of spite.
splash,3,飛澱(聲),The children splashed in the pool.
spoil,3,破壞,The rain spoiled our picnic.
spray,3,噴；濺散,She sprayed water on the plants.
spy,3,間諜；秘密監視,The spy was caught by the police.
squeeze,3,壓；擠,She squeezed the lemon.
squirrel,3,松鼠,A squirrel ran up the tree.
stable,3,穩定的,The patient is in stable condition.
stadium,3,露天)運動場,The stadium was full of fans.
stale,3,不新鮮的,The bread is stale.
stare,3,瞪眼,She stared at the painting.
starve,3,使)挨餓,Many people starve in the world.
statue,3,雕像,The statue stands in the park.
steady,3,穩固的,The table is not steady.
steal,3,偷,Someone stole my bike.
steam,3,蒸汽,Steam rose from the hot water.
steep,3,陡峭的,The hill is very steep.
sticky,3,黏的,The floor is sticky.
stiff,3,硬的,My neck is stiff.
sting,3,刺傷(處)；刺,A bee sting can be painful.
stir,3,攪動,Stir the soup slowly.
stomach,3,胃,My stomach hurts.
stool,3,凳子,He sat on a wooden stool.
stormy,3,有暴風雨的,The weather is stormy.
stove,3,火爐,She cooked on the stove.
strategy,3,策略,We need a new strategy.
straw,3,稻草；麥桿,The farmer used straw for the animals.
strength,3,力氣,He has great physical strength.
structure,3,結構,The structure of the building is strong.
stubborn,3,固執的,He is too stubborn to change.
studio,3,工作室,She works in a art studio.
stuff,3,材料,Put your stuff in the bag.
substance,3,物質,Water is a clear substance.
subtract,3,減掉,Subtract five from ten.
suburb,3,郊區,They live in a quiet suburb.
suck,3,吸；吮,The baby sucked the milk.
suffer,3,遭受,He suffered from a headache.
sufficient,3,充足的,We have sufficient food.
suicide,3,自殺,Suicide is a serious issue.
sum,3,總數,The sum of two and three is five.
summary,3,摘要,Write a summary of the article.
summit,3,山頂,They reached the summit at noon.
superior,3,上等的,This product is superior to that one.
surround,3,圍繞,The house is surrounded by trees.
survey,3,調查；審視,We conducted a survey.
survivor,3,生還者,The only survivor was a child.
suspicion,3,懷疑,He was arrested on suspicion of theft.
swan,3,天鵝,The swan swam across the lake.
swear,3,發誓,I swear I am telling the truth.
sweat,3,汗水；出汗,He wiped the sweat from his face.
swift,3,迅速的,The swift bird flew away.
sword,3,劍,The knight carried a sword.
tablet,3,藥片,Take one tablet twice a day.
tag,3,標籤,Check the price tag.
tailor,3,裁縫師,The tailor made a suit for him.
talent,3,天賦,She has a talent for singing.
talkative,3,健談的,He is a talkative person.
tame,3,馴∣服的,The lion is not tame.
tangerine,3,橘子,She ate a tangerine.
tank,3,大容器,The tank is full of water.
tap,3,塞子；輕敲,He tapped on the window.
tasty,3,美味的,The food was very tasty.
technical,3,技術性的,There was a technical problem.
technique,3,技術,He learned a new technique.
temper,3,脾氣,He has a bad temper.
temporary,3,暫時的,This is a temporary job.
tend,3,有…的傾向,She tends to be late.
tender,3,嫩的,The meat is tender and juicy.
tent,3,帳篷,We slept in a tent.
terrific,3,極好的；嚇人的,The view was terrific.
territory,3,領土,The island is part of our territory.
thankful,3,感謝的,I am thankful for your help.
theory,3,理論,In theory the plan should work.
thirst,3,口渴,He had a terrible thirst.
thread,3,線；穿線於,She used a needle and thread.
threat,3,威脅,The threat of war worried everyone.
threaten,3,恐嚇,He threatened to call the police.
thumb,3,拇指,He hurt his thumb.
tide,3,潮汐,The tide is coming in.
tight,3,緊的；緊緊地,These shoes are too tight.
tighten,3,使)繃緊,Tighten the screw.
timber,3,木材,The house is built of timber.
tobacco,3,煙草,Tobacco is harmful to health.
ton,3,噸,The truck carried ten tons of coal.
toss,3,扔；擲,He tossed the ball to me.
tough,3,堅韌的,This meat is tough.
tourism,3,觀光業,Tourism is important to the economy.
tourist,3,觀光客,Many tourists visit the city.
tow,3,拖,The truck towed the car away.
tower,3,塔樓；屹立,The tower is very tall.
trace,3,蹤跡；追溯,The police found no trace of him.
transport,3,運輸(系統),Public transport is cheap here.
traveler,3,旅行者,The traveler carried a small bag.
tray,3,盤子,She put the cups on the tray.
trend,3,趨勢,The trend is toward smaller cars.
tribe,3,部落,The tribe lives in the mountains.
tricky,3,狡猾的,This is a tricky question.
troop,3,部隊,The troops returned home.
tropical,3,熱帶的,We visited a tropical island.
trumpet,3,喇叭；鼓吹,He plays the trumpet.
trunk,3,樹幹,The trunk of the tree is thick.
tub,3,浴缸；盆,She filled the tub with water.
tune,3,曲調,The tune is easy to remember.
tunnel,3,隧道,The train went through a tunnel.
tutor,3,家庭教師,She hired a math tutor.
twin,3,孿生子之一,She has a twin sister.
twist,3,彎曲；扭曲,He twisted his ankle.
underwear,3,內衣,He packed clean underwear.
union,3,結合,The union protects workers' rights.
unite,3,合併,The two parties united.
unity,3,統一,Unity is strength.
urban,3,城市的,Urban life is busy.
vacant,3,空的,The seat is vacant.
vanish,3,消失,The magician made the rabbit vanish.
variety,3,多樣化,The store offers a variety of goods.
various,3,各式各樣的,We discussed various topics.
vary,3,變化,Prices vary from store to store.
vase,3,花瓶,She put flowers in the vase.
vehicle,3,車輛,The vehicle was parked outside.
verse,3,詩節,He wrote a poem in verse.
victim,3,受害者,The victim was taken to hospital.
violence,3,暴力,The film contains violence.
violent,3,兇暴的,He has a violent temper.
violet,3,紫羅蘭,The violet is a small purple flower.
visible,3,看得見的,The star is visible tonight.
vision,3,視力,His vision is poor.
vitamin,3,維他命,Oranges are rich in vitamin C.
vivid,3,生動的,She has a vivid imagination.
vocabulary,3,詞彙,Reading improves your vocabulary.
volleyball,3,排球,We played volleyball on the beach.
volume,3,音量,Turn down the volume.
voter,3,選民,Every voter should cast a ballot.
wagon,3,四輪運貨馬車,The wagon was pulled by horses.
wander,3,徘徊(於),He wandered through the streets.
warn,3,警告,They warned us of the danger.
waterfall,3,瀑布,The waterfall is beautiful.
wax,3,蠟,The candle is made of wax.
weaken,3,削弱,The disease weakened him.
wealthy,3,富裕的,He is a wealthy businessman.
weapon,3,武器,The police found a weapon.
weave,3,紡織,She weaves cloth on a loom.
web,3,網,A spider spins a web.
weed,3,雜草,He pulled the weeds from the garden.
weekly,3,一週一次的,We have a weekly meeting.
weep,3,哭泣,She began to weep.
wheat,3,小麥,Wheat is used to make bread.
whistle,3,哨子；吹口哨,He whistled a happy tune.
wicked,3,邪惡的,The wicked witch cast a spell.
widen,3,使)變寬,They plan to widen the road.
wipe,3,擦v,She wiped the table clean.
wisdom,3,智慧,He shared his wisdom with us.
wrap,3,圍巾；包裹,She wrapped the gift in paper.
wrist,3,腕,He hurt his wrist.
yearly,3,每年一次,We have a yearly checkup.
yell,3,喊叫,He yelled at the dog.
youngster,3,年輕人,The youngster ran quickly.
zone,3,地帶,This is a no-parking zone.
almond,3,杏仁,She added almonds to the salad.
aware,3,察覺到的；知道的,He was aware of the risk.
badly,3,嚴重地；差勁地,He was badly hurt.
bang,3,巨響；猛撞,The door closed with a bang.
barn,3,穀倉,The farmer stored hay in the barn.
bead,3,串珠,She wore a necklace of beads.
beetle,3,甲蟲,A beetle crawled on the leaf.
blouse,3,女用襯衫,She wore a white blouse.
brass,3,黃銅,The door handle is made of brass.
brunch,3,早午餐,We had brunch at noon.
buzz,3,嗡嗡聲；嗡嗡叫,The bee buzzed around the flower.
cinema,3,電影院,We went to the cinema.
citizen,3,公民,He is a citizen of Taiwan.
civil,3,公民的；民間的,They fought for civil rights.
comfort,3,安慰；舒適,She comforted the crying child.
comma,3,逗號,Use a comma between items.
cone,3,圓錐體；甜筒,He bought an ice cream cone.
crispy,3,酥脆的,The fried chicken is crispy.
database,3,資料庫,The database stores all the records.
dealer,3,經銷商,He is a car dealer.
decade,3,十年,They have been friends for a decade.
definition,3,定義,Look up the definition of this word.
desirable,3,令人嚮往的,The house is in a desirable area.
detect,3,偵測；發現,The machine can detect smoke.
disk/disc,3,圓盤；磁碟片,Save the file on a disk.
dislike,3,不喜歡,I dislike cold weather.
drip,3,滴落,The water dripped from the tap.
dumpling,3,水餃；餃子,We ate dumplings for lunch.
editor,3,編輯,The editor checked the article.
engage(ment),3,使從事；訂婚,They announced their engagement.
expressive,3,富有表情的,She has an expressive face.
fairly,3,相當地；公平地,The test was fairly easy.
fashionable,3,流行的；時髦的,She wears fashionable clothes.
faucet,3,水龍頭,The faucet is leaking.
fearful,3,害怕的,She was fearful of the dark.
firework,3,煙火,We watched the fireworks.
flashlight,3,手電筒,He used a flashlight in the dark.
flute,3,長笛,She plays the flute.
fright,3,驚嚇,He jumped in fright.
grassy,3,多草的,The grassy field is perfect for a picnic.
hammer,3,鐵鎚；敲打,He hit the nail with a hammer.
hateful,3,可恨的,His hateful words hurt her.
hell,3,地獄,The war was hell for the soldiers.
hesitate,3,猶豫,Do not hesitate to ask for help.
holder,3,持有人；容器,He is the holder of the world record.
hollow,3,中空的；空洞的,The tree trunk is hollow.
horn,3,喇叭；角,The car horn beeped.
hourly,3,每小時的,He gets paid hourly.
hum,3,哼唱；發出嗡嗡聲,She hummed a tune.
hut,3,小屋,They stayed in a small hut.
icy,3,結冰的；冰冷的,The road is icy and dangerous.
inspector,3,檢查員,The inspector checked the building.
juicy,3,多汁的,The steak was juicy.
kilometer,3,公里,The distance is five kilometers.
koala,3,無尾熊,The koala sleeps in the tree.
learning,3,學習,Learning is a lifelong process.
leopard,3,花豹,The leopard ran fast.
lettuce,3,萵苣,She put lettuce in the sandwich.
lighthouse,3,燈塔,The lighthouse guides ships.
lollipop,3,棒棒糖,The child licked a lollipop.
marker,3,馬克筆；標記,He used a marker to write.
mend,3,修補,She mended the torn shirt.
moth,3,蛾,A moth flew around the lamp.
multiply,3,使相乘；增加,Multiply two by three.
omit,3,省略；遺漏,Do not omit any important details.
ongoing,3,持續進行的,The ongoing project is going well.
onion,3,洋蔥,She cut the onion and cried.
onto,3,到……之上,He climbed onto the roof.
operation,3,運作；手術,The operation was successful.
opportunity,3,機會,This is a great opportunity.
opposite,3,相反的；對面,The bank is opposite the school.
oral,3,口頭的；口腔的,He gave an oral report.
organic,3,有機的,She buys organic vegetables.
outer,3,外部的,The outer wall needs paint.
pad,3,墊子；記事本,She wrote on a pad.
parcel,3,包裹,The parcel arrived today.
playful,3,愛玩的；嬉戲的,The puppy is very playful.
porcelain,3,瓷器,The vase is made of porcelain.
producer,3,製作人；生產者,The producer made a new film.
protection,3,保護,The law offers protection to workers.
punch,3,用拳猛擊；打洞機,He punched the wall in anger.
puppet,3,木偶,The puppet moved by strings.
rectangle,3,長方形,The table is a rectangle.
replace(ment),3,取代；替換,We need to replace the old computer.
robbery,3,搶劫,The robbery happened at midnight.
saucer,3,茶碟,She put the cup on the saucer.
scarce,3,稀少的,Water is scarce in the desert.
scholarship,3,獎學金,She won a scholarship to study abroad.
scissors,3,剪刀,He cut the paper with scissors.
screw,3,螺絲；用螺絲固定,Tighten the screw with a screwdriver.
scrub,3,刷洗,She scrubbed the floor clean.
senior,3,資深的；年長者,He is a senior manager.
sexy,3,性感的,She wore a sexy dress.
shortly,3,不久；很快地,He will arrive shortly.
shovel,3,鏟子；鏟,He used a shovel to dig the hole.
sip,3,啜飲,She took a sip of tea.
ski,3,滑雪,They ski in the mountains.
spin,3,旋轉,The top spins fast.
staff,3,職員；工作人員,The staff are very friendly.
stitch,3,縫；一針,The doctor put a stitch in the wound.
strip,3,條狀物；剝去,He cut the paper into strips.
suspect,3,懷疑；嫌疑犯,The police suspect him.
swell,3,腫脹；膨脹,His ankle began to swell.
tease,3,取笑；逗弄,Do not tease your sister.
teenage,3,青少年的,Teenage years can be difficult.
trader,3,商人；交易者,He is a stock trader.
trail,3,小徑；追蹤,We followed a mountain trail.
truthful,3,誠實的,Be truthful about what happened.
tug,3,用力拉,He tugged the rope hard.
underlying,3,潛在的；根本的,The underlying problem is money.
unique,3,獨特的,This is a unique opportunity.
van,3,小貨車,The van delivered the goods.
vest,3,背心,He wore a vest over his shirt.
wage(s),3,工資,The workers demanded higher wages.
warmth,3,溫暖,The warmth of the fire felt good.
wed,3,結婚,They will wed in June.
whip,3,鞭子；鞭打,The rider used a whip.
yolk,3,蛋黃,The egg yolk is yellow.
zipper,3,拉鍊,The zipper on my bag is broken.
